,Date,Day,Territory,Menu Item,Price (IDR),Price (USD),Category,Menu
150,2025/01/01,Wed,Indonesia,Hot Cappucino,26000.00,1.60,McCafé,Regular
151,2025/01/01,Wed,Indonesia,Hot Café Latte,26000.00,1.60,McCafé,Regular
152,2025/01/01,Wed,Indonesia,Hot Flat White,26000.00,1.60,McCafé,Regular
153,2025/01/01,Wed,Indonesia,Hot Long Black,26000.00,1.60,McCafé,Regular
154,2025/01/01,Wed,Indonesia,Hot Lemon Grass Tasseo Tea,23500.00,1.44,McCafé,Regular
155,2025/01/01,Wed,Indonesia,Hot Java Jasmine Tasseo Tea,23500.00,1.44,McCafé,Regular
156,2025/01/01,Wed,Indonesia,Hot Pure Green Tasseo Tea,23500.00,1.44,McCafé,Regular
157,2025/01/01,Wed,Indonesia,Klepon Cake,36000.00,2.21,McCafé,Regular
158,2025/01/01,Wed,Indonesia,Choco Lover,36000.00,2.21,McCafé,Regular
159,2025/01/01,Wed,Indonesia,Choco Chip Muffin,26000.00,1.60,McCafé,Regular
160,2025/01/01,Wed,Indonesia,Banana Muffin,26000.00,1.60,McCafé,Regular
161,2025/01/01,Wed,Indonesia,Cheese Croissant,35000.00,2.15,McCafé,Regular
162,2025/01/01,Wed,Indonesia,Tuna Puff Pastry,34000.00,2.09,McCafé,Regular
163,2025/01/01,Wed,Indonesia,Cheese Stick,24500.00,1.51,McCafé,Regular
164,2025/01/01,Wed,Indonesia,Butter Croissant,25500.00,1.57,McCafé,Regular
165,2025/01/01,Wed,Indonesia,Rice,10000.00,0.61,Rice,Regular
166,2025/01/01,Wed,Indonesia,Nasi Uduk McD,30500.00,1.88,Rice,Regular
167,2025/01/01,Wed,Indonesia,Original Hello Kitty Plush Bag Tag,37500.00,2.31,Merchandise,Regular
168,2025/01/01,Wed,Indonesia,HEMAT - 2 Ayam Krispy McD + 2 Rice + 2 Fruitea Lemon,52000.00,3.20,Exclusive Delivery,Breakfast
169,2025/01/01,Wed,Indonesia,HEMAT - 2 Paket HeBat Korean Soy Garlic Wings,55000.00,3.38,Exclusive Delivery,Breakfast
170,2025/01/01,Wed,Indonesia,Paket Kenyang,150000.00,9.22,Exclusive Delivery,Breakfast
171,2025/01/01,Wed,Indonesia,Paket Manis,71500.00,4.40,Exclusive Delivery,Breakfast
172,2025/01/01,Wed,Indonesia,Big Breakfast,42000.00,2.58,Breakfast Menu,Breakfast
173,2025/01/01,Wed,Indonesia,Egg & Cheese Muffin,20000.00,1.23,Breakfast Menu,Breakfast
174,2025/01/01,Wed,Indonesia,Sausage McMuffin® with Egg,34500.00,2.12,Breakfast Menu,Breakfast
175,2025/01/01,Wed,Indonesia,Chicken McMuffin® with Egg,33500.00,2.06,Breakfast Menu,Breakfast
176,2025/01/01,Wed,Indonesia,Egg McMuffin®,29500.00,1.81,Breakfast Menu,Breakfast
177,2025/01/01,Wed,Indonesia,Sausage McMuffin®,31000.00,1.91,Breakfast Menu,Breakfast
178,2025/01/01,Wed,Indonesia,Chicken Muffin,29000.00,1.78,Breakfast Menu,Breakfast
179,2025/01/01,Wed,Indonesia,Sausage Wrap,32000.00,1.97,Breakfast Menu,Breakfast
180,2025/01/01,Wed,Indonesia,Breakfast Wrap,29500.00,1.81,Breakfast Menu,Breakfast
181,2025/01/01,Wed,Indonesia,Hotcakes 3pcs,33000.00,2.03,Breakfast Menu,Breakfast
182,2025/01/01,Wed,Indonesia,Hotcakes 2pcs,28000.00,1.72,Breakfast Menu,Breakfast
183,2025/01/01,Wed,Indonesia,Nasi Uduk McD,30500.00,1.88,Breakfast Menu,Breakfast
